r(m), theta(rad), phi(rad), E(Re), E(Im), H(Re), H(Im)
0.300000, 1.507964, 2.607522, 0.005857, 0.021249, 0.000019, 0.000055
0.300000, 1.507964, 2.576106, 0.007611, 0.018630, 0.000026, 0.000048
0.300000, 1.507964, 2.544690, 0.009695, 0.016419, 0.000033, 0.000043
0.300000, 1.507964, 2.513274, 0.011672, 0.014633, 0.000038, 0.000038
0.300000, 1.507964, 2.481858, 0.013496, 0.013040, 0.000043, 0.000034
0.300000, 1.507964, 2.450442, 0.015148, 0.011323, 0.000047, 0.000030
0.300000, 1.507964, 2.419026, 0.016533, 0.009298, 0.000050, 0.000024
0.300000, 1.507964, 2.387610, 0.017494, 0.007078, 0.000052, 0.000018
0.300000, 1.507964, 2.356194, 0.017874, 0.005299, 0.000053, 0.000012
0.300000, 1.507964, 2.324779, 0.017579, 0.005184, 0.000052, 0.000012
0.300000, 1.507964, 2.293363, 0.016620, 0.006770, 0.000050, 0.000016
0.300000, 1.507964, 2.261947, 0.015123, 0.008745, 0.000046, 0.000022
0.300000, 1.507964, 2.230531, 0.013306, 0.010296, 0.000041, 0.000027
0.300000, 1.507964, 2.199115, 0.011443, 0.011079, 0.000035, 0.000029
0.300000, 1.507964, 2.167699, 0.009790, 0.010995, 0.000030, 0.000029
0.300000, 1.507964, 2.136283, 0.008518, 0.010101, 0.000026, 0.000027
0.300000, 1.507964, 2.104867, 0.007665, 0.008568, 0.000021, 0.000023
0.300000, 1.507964, 2.073451, 0.007171, 0.006635, 0.000018, 0.000018
0.300000, 1.507964, 2.042035, 0.006990, 0.004575, 0.000015, 0.000013
0.300000, 1.507964, 2.010619, 0.007130, 0.002673, 0.000013, 0.000010
0.300000, 1.507964, 1.979203, 0.007598, 0.001333, 0.000014, 0.000008
0.300000, 1.507964, 1.947787, 0.008310, 0.001274, 0.000016, 0.000008
0.300000, 1.507964, 1.916372, 0.009094, 0.001805, 0.000019, 0.000008
0.300000, 1.507964, 1.884956, 0.009765, 0.002125, 0.000022, 0.000008
0.300000, 1.507964, 1.853540, 0.010180, 0.002226, 0.000024, 0.000008
0.300000, 1.507964, 1.822124, 0.010279, 0.002326, 0.000024, 0.000007
0.300000, 1.507964, 1.790708, 0.010091, 0.002671, 0.000025, 0.000006
